,sentence,label,tones
27,i become overwhelmed and feel defeated,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.513796,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.503362,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      },      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.876534,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
29,i feel more superior dead chicken or grieving child,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.712674,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.946222,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.520641,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.80026,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
31,i remember feeling acutely distressed for a few days,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.66047,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.594501,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.511454,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.548511,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.666663,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
35,i am not sure what would make me feel content if anything,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.957168,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.842108,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
36,i have been feeling the need to be creative,joy,"{  ""document_tone"": {    ""tones"": []  }}"
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.526825,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.86005,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.74404,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.534455,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.762356,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.539659,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.5538,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.908068,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.63698,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.716829,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.821472,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.681383,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.612251,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
45,i was feeling listless from the need of new things something different,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.538757,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.863717,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
48,on a boat trip to denmark,joy,"{  ""document_tone"": {    ""tones"": []  }}"
49,i stopped feeling cold and began feeling hot,anger,"{  ""document_tone"": {    ""tones"": []  }}"
50,i need to feel the dough to make sure its just perfect,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.700829,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.543112,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
51,i found myself feeling a little discouraged that morning,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.597001,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
52,i feel selfish and spoiled,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.736847,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
55,i feel you know basically like a fake in the realm of science fiction,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.64569,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.845297,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.762356,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.716281,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      }    ]  }}"
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.63,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.640702,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.709824,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,"{  ""document_tone"": {    ""tones"": []  }}"
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.509297,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.849846,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.682724,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.786991,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.664428,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
64,i am now nearly finished the week detox and i feel amazing,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.820323,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.589295,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
66,i know the pain parents feel when an enraged child becomes violent,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.797034,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.856622,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,"{  ""document_tone"": {    ""tones"": []  }}"
69,i was feeling brave when i bought it and clearly when i was doing my makeup,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.523002,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.704642,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
70,i am feeling miserable but c i am also the proudest mum on earth,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.662078,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.512042,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.901841,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.828638,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.822277,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
73,i can feel my ovaries aching talking to me as i like to put it,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.680307,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.647986,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.565226,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.731109,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.718921,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.585412,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
77,i think feelings are one of nay the most important things we have,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.560644,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.589295,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.805754,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
79,i feel angered and firey,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.607557,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
80,i feel like a miserable piece of garbage,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.667811,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.961593,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.563655,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.927842,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.704683,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,"{  ""document_tone"": {    ""tones"": []  }}"
83,i remember feeling so hellip furious with the shooter,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.588141,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
84,i feel very happy and excited since i learned so many things,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.938546,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.543112,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.704609,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.716301,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.67368,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,"{  ""document_tone"": {    ""tones"": []  }}"
87,i think about how u could make me feel and realize that everything will be ok,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
88,i feel so worthless during those times i was struggling finding work,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.8714,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.592847,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      }    ]  }}"
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.57215,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.58393,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
91,im feeling bitter today my mood has been strange the entire day so i guess its that,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.616391,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.612268,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.625063,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.775166,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.801827,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
95,i feel like throwing away the shitty piece of shit paper,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.61589,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      }    ]  }}"
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.69051,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
97,i find every body beautiful and only want people to feel vital in their bodies,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.687768,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.775166,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.936873,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.809279,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
101,i alba i feel good and im fitting in,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.906567,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.5538,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.774296,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.599421,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.525007,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.778566,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.625114,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.599484,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.830561,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
