,sentence,label,tones
1515,i was feeling pretty impressed with myself,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.604867,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.91961,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1516,i feel whos work is worthwhile in this world and actually makes me cry,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.584305,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1517,i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.847744,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1518,my girlfriend sent me a letter with a shiny picture in it,joy,"{  ""document_tone"": {    ""tones"": []  }}"
1519,i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.742235,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1520,im not feeling joyful or spiritually fit,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.91961,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1521,i do feel jaded very often,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.501097,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1522,i feel grouchy or short tempered then the guilt kicks in,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.565294,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.536047,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.909883,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1523,i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.676155,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.915488,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1524,i feel hateful of myself for being alone,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.687175,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.615352,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1525,i feel highly burdened and incapacitated by my stupid flaring legs,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.518328,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      }    ]  }}"
1526,i feel fabulous,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.946222,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1527,i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.650794,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1528,i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.663387,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1529,i feel there is really no point in me loving him after getting to know his true color,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.796729,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1530,i can wear anything and not feel bad,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.961411,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1531,i definitely feel like hot stuff strutting down the road in it a href http,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.751512,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
1532,i feel style of charming creepy macabre drinks the fountain,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.726423,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      }    ]  }}"
1533,i feel abit hopeless at times man darn itttt,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.715904,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.5538,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1534,i feel some control over caring for the little ones finances future decisions family tensions tough friendships you name it,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.704683,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1535,i definitely recommend this for anyone who is feeling depressed or anxious,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.784249,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1536,i feel like im still just caught in the rat race living a morally acceptable life without actually doing anything to serve you or live from a fire consuming heart,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.892484,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1537,i feel awfully blessed,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.7938,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1538,i am feeling a little less delicate i will attempt to clean up this hovel,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.568998,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.647986,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1539,when my beloved grandfather died,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.7485,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1540,i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.780964,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1541,im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.839577,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1542,i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.737379,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1543,i do not believe there is any child that deep in the depths of their soul does not feel a longing for their mother,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.836129,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1544,i feel like this another one of the more underrated records on the album not going to be the most popular but an amazing record nonetheless,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.801705,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.687768,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1545,i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.688219,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.951014,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1546,i feel awful that these thoughts are running around in my head but i can t help it,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.676964,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1547,i feel inside of me that it was not in vain,sadness,"{  ""document_tone"": {    ""tones"": []  }}"
1548,i feel overwhelmed and humbled but i am alive to keep slugging and i m grateful for the chance,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.80161,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.727988,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1549,i keep feeling that sometimes one just has to fake it till they make it,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.772971,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.779898,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1550,i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.584898,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1551,i normally associate with a tough workout moving from side to side in bed has become more of an effort my sleep is pretty interrupted and uncomfortable in general although much better with the aid of a benadryl and there are times when i feel like i could never be energetic again,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.612539,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.60456,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1552,i just naturally feel like i m a better player,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.856622,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.913895,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1553,i feel angered by this,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 1.0,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1554,i go into work when im feeling low ill only feel worse all or nothing thinking e,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.704564,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.641954,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1555,i feel fantastic and i find that i have a renewed sense of strength and endurance,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.769617,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.506763,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1556,i know someone who needs to feel respected above all else who maybe deep down worries hes not worthy of that respect because hes insecure about where he comes from,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.653443,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      },      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.647986,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1557,i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking,sadness,"{  ""document_tone"": {    ""tones"": []  }}"
1558,i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.784773,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.716301,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1559,i can sit out on my deck and soak up warmth and sun and sometimes it feels ok that the world is still standing even though i am not,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.593398,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.5538,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.750465,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1560,i think i might be lacking in judgment about what matters and what doesnt but why do i feel like this is just going to go away in the most unfortunate regretful way possible,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.797961,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.881398,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1561,i turn feeling ridiculously awkward and very self conscious to face zayne,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.676311,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.80026,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      },      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1562,i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.601914,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1563,i feel fucked is available to pre order from a href http churchoffuck,anger,"{  ""document_tone"": {    ""tones"": []  }}"
1564,i already feel myself becoming more casual in my fandom,joy,"{  ""document_tone"": {    ""tones"": []  }}"
1565,i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.681699,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1566,i can be as kind as an angel but sometimes i can also be as mean as a devil i used to use harsh words when i feel irritated,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.765702,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1567,i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.788547,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.731338,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1568,im a firm believer that nothing makes a woman feel much more terrific than a great trip to the salon to lift her spirits a bit,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.694794,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1569,i always feel invigorated while listening to her that we can win this war against predatory school deform,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.538834,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1570,i an asylum seeker who i don t know how they live in this country without feeling assaulted,fear,"{  ""document_tone"": {    ""tones"": []  }}"
1571,i often feel that i m being submissive by not being open and honest about my desires and needs on a regular basis,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.561818,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.63698,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1572,i feel the calm,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1573,ive been feeling reluctant intermittent and lacklustre to pen my thoughts down,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.842108,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1574,i feel very numb at the moment,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.625866,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.751512,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
1575,i think i am still feeling a little groggy from that,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.599479,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.653099,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1576,i feel like im a violent mother,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.561463,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.920855,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1577,i sure feel sorry for what happened to your friend diego he was your friend right,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.693284,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1578,i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.543009,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.687768,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.752368,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1579,i were to ever get married i d have everything ready to offer to him because i ve got it together and when i do go out to clubs even the perfect good looking guys feel intimated after talking to me about my clever self,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.768434,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1580,i feel like i cant take it anymore i told my boyfriend and he is furious,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.670733,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.687768,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1581,ive found myself feeling low and at other times sad,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.828716,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.687768,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1582,i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.798791,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      },      {        ""score"": 0.664451,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1583,i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.573884,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      },      {        ""score"": 0.506393,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1584,i have been struggling with this feeling of being damaged,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.838498,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1585,i am not in general feeling particularly virtuous this month,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.515572,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.901894,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1586,im feeling adventurous and my laundry hamper,joy,"{  ""document_tone"": {    ""tones"": []  }}"
1587,i feel blessed to have had years with him and i am thankful for all i learned from him,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.948674,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1588,i still pretty much feel ashamed and i m certain i m disappointed in my weaknesses i know for fact i am angry and upset and that s just for one situation,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.5603,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.531428,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.682143,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1589,i feel less valued cause i dont look good,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.641374,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.5538,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1590,i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.808178,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1591,i feel that phrase implies a calm orderly procession in which i would remove the refuse from my,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.515144,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.747994,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1592,i can eat but allow myself one naughty item of my choice to avoid feeling deprived,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.54822,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.762356,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1593,i proclaim to have lost a bit of my sanity and feel so shaky,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.785704,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.681699,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1594,i am feeling rather delicate due to alot of white wine and a considerable amount of dancing one of my best friends ended up in a amp e due to a fractured wrist caused by excessive dancing,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.818829,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.745634,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1595,i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.989928,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      },      {        ""score"": 0.638987,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
1596,i feel uncomfortable with the fact i am so powerless at the moment,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.509368,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      },      {        ""score"": 0.589295,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1597,as a child i suffered of nightmares even since than,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.662343,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.822231,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1598,i feel resentful and really work that resentment until i blow up,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1599,i just feel so fucked up these days,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.961411,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1600,i worked out monday and tuesday but i was feeling so crappy on wednesday that i went home and decided to make it a rest day,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.551856,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.509368,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
